geo,sector,year,elec_carb_int_inp,elec_gen_GWh_inp,elec_value_inp,emis_int_inp,emissions_MtCo2_inp,ind_val_add_2019_bln_inp,pcap_emis_int_inp,pop_inp,resi_emis_int_inp,tokeep,emissions_MtCo2_finaly,ind_val_add_2019_bln_finaly,elec_gen_GWh_finaly,emissions_MtCo2_trend,emis_int_trend,ind_val_add_2019_bln_trend,elec_gen_GWh_trend,baseyear,emissions_MtCo2_baseyear,yrs_since_final_obs,ind_val_add_multiplier,elec_gen_GWh_multiplier,ind_val_add_output,elec_gen_GWh_output,emissions_MtCo2_output,emis_int_outp,elec_carb_int_outp,population
VIC,"Gas, Water & Waste Services",2044,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,26.0,4.431627742471187,,23.77743252034992,,10.250238888888884,0.4310910726007198,,9.637195
VIC,"Gas, Water & Waste Services",2045,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,27.0,4.692789680387793,,25.17866942844662,,10.349609999999995,0.41104674055202867,,9.746507000000001
VIC,"Gas, Water & Waste Services",2046,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,28.0,4.9693422516743215,,26.662483161056734,,10.448981111111106,0.3918982732400898,,9.855667
VIC,"Gas, Water & Waste Services",2047,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,29.0,5.262192447592277,,28.233740084393794,,10.548352222222217,0.37360803742940246,,9.964707
VIC,"Gas, Water & Waste Services",2048,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,30.0,5.572300709649728,,29.89759334634723,,10.647723333333328,0.35613981399724354,,10.073666000000001
VIC,"Gas, Water & Waste Services",2049,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,31.0,5.900684079498094,,31.65949977692225,,10.74709444444444,0.33945875709250417,,10.182576
VIC,"Gas, Water & Waste Services",2050,,,,,,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,32.0,6.248419534456697,,33.52523778464597,,10.84646555555555,0.3235313534606177,,10.291464
VIC,LULUCF,2005,,,,,-4.721,,,,,1,-11.43551,,,-2.1376,,,,2005,-4.721,-13.0,,,,,-4.721,,,5.023203
VIC,LULUCF,2006,,,,,-0.10432999999999999,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-12.0,,,,,-0.10432999999999999,,,5.1039650000000005
VIC,LULUCF,2007,,,,,6.45682,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-11.0,,,,,6.45682,,,5.199503
VIC,LULUCF,2008,,,,,3.37921,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-10.0,,,,,3.37921,,,5.313285
VIC,LULUCF,2009,,,,,7.80289,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-9.0,,,,,7.80289,,,5.3719339999999995
VIC,LULUCF,2010,,,,,6.88742,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-8.0,,,,,6.88742,,,5.461101
VIC,LULUCF,2011,,,,,7.677329999999999,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-7.0,,,,,7.677329999999999,,,5.5378169999999995
VIC,LULUCF,2012,,,,,-4.10073,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-6.0,,,,,-4.10073,,,5.651091
VIC,LULUCF,2013,,,,,-6.69428,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-5.0,,,,,-6.69428,,,5.7726690000000005
VIC,LULUCF,2014,,,,,-5.9574,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-4.0,,,,,-5.9574,,,5.8949169999999995
VIC,LULUCF,2015,,,,,-7.46444,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-3.0,,,,,-7.46444,,,6.022322
VIC,LULUCF,2016,,,,,-13.87309,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-2.0,,,,,-13.87309,,,6.173172
VIC,LULUCF,2017,,,,,-13.41262,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,-1.0,,,,,-13.41262,,,6.320292
VIC,LULUCF,2018,,,,,-11.43551,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,0.0,1.0,1.0,,,-11.43551,,,6.46589
VIC,LULUCF,2019,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,1.0,,,,,-13.57311,,,6.614083
VIC,LULUCF,2020,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,2.0,,,,,-15.71071,,,6.760752
VIC,LULUCF,2021,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,3.0,,,,,-17.84831,,,6.904453
VIC,LULUCF,2022,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,4.0,,,,,-19.98591,,,7.045656
VIC,LULUCF,2023,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,5.0,,,,,-22.12351,,,7.1832199999999995
VIC,LULUCF,2024,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,6.0,,,,,-24.261110000000002,,,7.317283
VIC,LULUCF,2025,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,7.0,,,,,-26.39871,,,7.447358
VIC,LULUCF,2026,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,8.0,,,,,-28.53631,,,7.57304
VIC,LULUCF,2027,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,9.0,,,,,-30.67391,,,7.694223
VIC,LULUCF,2028,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,10.0,,,,,-32.81151,,,7.8149679999999995
VIC,LULUCF,2029,,,,,,,,,,0,-11.43551,,,-2.1376,,,,2005,-4.721,11.0,,,,,-34.949110000000005,,,7.935141000000001
